maxtempF,mintempF,avgtempF,totalprecipIn
35,15,25,0.0
39,22,29,0.0
36,22,29,0.06
33,26,28,0.0
35,25,29,0.0
38,29,32,0.01
35,27,31,0.1
38,26,31,0.02
41,31,35,0.45
32,20,26,0.2
33,18,23,0.0
30,18,22,0.0
32,18,25,0.0
34,30,31,0.29
35,31,33,0.68
34,27,31,0.5
35,31,33,0.7
37,29,33,1.32
37,28,32,1.2
36,34,35,0.3
39,25,33,0.04
40,24,30,0.0
41,25,31,0.0
39,23,29,0.0
39,22,28,0.0
38,25,31,0.0
35,21,25,0.0
37,21,27,0.0
38,26,30,0.0
38,24,28,0.0
40,25,29,0.0
44,22,31,0.0
41,22,31,0.0
34,21,27,0.0
38,28,31,0.14
37,28,33,1.23
32,26,29,0.27
32,23,28,0.15
32,21,26,0.0
30,18,23,0.01
25,12,19,0.03
16,3,10,0.0
8,-6,2,0.0
9,-5,2,0.08
20,-2,9,0.06
19,5,12,0.3
26,14,20,0.24
33,18,26,0.7
36,31,32,0.46
35,30,32,0.74
34,24,30,0.75
33,27,30,0.92
32,22,28,0.71
31,23,28,0.81
30,26,28,1.7
33,24,29,1.22
28,24,26,0.48
31,26,29,0.65
30,21,26,0.15
28,20,24,0.17
31,26,28,0.59
28,24,26,0.6
31,18,24,0.07
35,20,25,0.0
39,22,30,0.05
38,25,31,0.0
26,13,19,0.19
27,15,20,0.83
36,28,33,0.95
37,32,34,0.68
42,33,37,1.14
37,30,34,0.6
37,27,33,0.15
37,27,34,0.82
39,34,36,0.48
35,27,32,0.3
41,23,30,0.0
45,22,32,0.0
43,26,34,0.0
37,28,34,0.54
44,26,35,0.09
38,28,34,0.89
30,24,28,0.19
38,19,29,0.0
35,23,30,0.32
33,21,26,0.13
38,19,26,0.0
40,20,29,0.0
42,26,34,0.0
41,27,33,0.0
38,28,32,0.28
37,29,33,0.2
38,29,34,0.15
39,28,33,0.5
37,28,33,0.29
36,25,32,0.19
43,22,32,0.0
44,28,35,0.0
42,29,35,0.0
45,28,36,0.06
38,29,33,0.13
42,29,36,0.46
43,35,38,0.13
60,33,46,0.0
50,37,43,0.23
44,28,35,0.0
47,28,36,0.0
48,29,37,0.0
47,32,38,0.0
51,31,40,0.0
55,30,41,0.0
43,30,36,0.15
41,35,38,0.41
41,32,38,0.56
42,29,34,0.08
43,28,35,0.3
48,28,37,0.01
50,36,42,0.26
39,30,34,0.43
39,28,35,0.65
43,30,36,0.69
43,27,34,0.04
43,29,35,0.04
